"","X.2","X.1","X","RT","RT_bl","RT_tot","acc_bl","acc_tot","background","bidi","block_cnt","block_type","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","count_block_loop","count_block_seq","count_block_settings","count_check_session","count_drift_correct","count_exp_settings","count_experiment","count_feedback","count_instructions","count_log_variables","count_logger","count_new_pygaze_drift_correct","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_pygaze","count_start_recording","count_stop_recording","count_test_location","count_trial","count_trial_loop","count_trial_seq","d_eye","datetime","description","disable_garbage_collection","dist_color","dist_high","dist_loc","dist_shape","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","high_loc","high_prob_loc","keyboard_backend","live_row","live_row_block_loop","live_row_trial_loop","logfile","mouse_backend","nr_blinks","nr_trials","nr_trials_bl","opensesame_codename","opensesame_version","orient_list_trial","ping","ping_trigger","ping_type","practice","repeat_cycle","response","round_decimals","sampler_backend","session_nr","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_color","target_high","target_loc","target_shape","time_block_loop","time_block_seq","time_block_settings","time_check_session","time_drift_correct","time_exp_settings","time_experiment","time_feedback","time_instructions","time_log_variables","time_logger","time_new_pygaze_drift_correct","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_pygaze","time_start_recording","time_stop_recording","time_test_location","time_trial","time_trial_loop","time_trial_seq","title","total_blocks","trial_type","trials_in_block","trigger","uniform_coordinates","update_blinks","width","x","y","toward","containsNaN","rept","repd","prevtar","pd","nt","pd_c","nt_c","tar_dist","dist_dist","prevHP","eegTar","repteeg","tarcounter"
"145",201,201,201,649.4109,29915.9549,220318.7664,27,156,"#000000","no",4,"bias","psycho","psycho","psycho",0,"uniform",1,0,3,3,NA,3,0,0,3,0,200,200,NA,NA,NA,0,3,3,NA,200,3,200,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","red","no","4","circle",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",32,3,32,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",2,201,33,"Kafkaesque Koffka","3.2.8","['hori', 'hori', 'hori', 'vert', 'vert', 'hori', 'vert', 'vert']","no",200,"None","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","green","yes",0,"diamond",141500.7695,860784.7616,860784.8135,NA,860789.9777,37185.2591,1379.6852,848456.8667,37185.2902,953500.4997,956253.9024,NA,NA,NA,1380.7122,861604.6053,847947.1256,NA,953500.5166,862106.5283,953500.4463,"New experiment",19,"dist_present",56,15,"yes","yes",1680,8.44084948717926,18.1854837179489,"more away","False","R","NR","hp",NA,NA,NA,NA,0,4,"first",0,"NR","ex"
"146",202,202,202,1100.9878,31016.9427,221419.7542,27,156,"#000000","no",4,"bias","psycho","psycho","psycho",0,"uniform",0,0,3,3,NA,3,0,0,3,0,201,201,NA,NA,NA,0,3,3,NA,201,3,201,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","green","no","6","diamond",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",33,3,33,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",2,202,34,"Kafkaesque Koffka","3.2.8","['hori', 'hori', 'vert', 'vert', 'hori', 'vert', 'hori', 'vert']","no",200,"None","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","red","no",3,"circle",141500.7695,860784.7616,860784.8135,NA,860789.9777,37185.2591,1379.6852,848456.8667,37185.2902,956284.1458,959429.926,NA,NA,NA,1380.7122,861604.6053,847947.1256,NA,956284.1626,862106.5283,956284.0928,"New experiment",19,"dist_present",56,47,"yes","yes",1680,12.9102244871793,16.1712337179489,"more away","False","NR","NR","hp",NA,NA,NA,NA,-3,2,"first",0,"R","in"
"147",203,203,203,786.7522,31803.6949,222206.5064,28,157,"#000000","no",4,"bias","psycho","psycho","psycho",0,"uniform",1,0,3,3,NA,3,0,0,3,0,202,202,NA,NA,NA,0,3,3,NA,202,3,202,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","red","no","5","circle",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",34,3,34,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",2,203,35,"Kafkaesque Koffka","3.2.8","['hori', 'vert', 'vert', 'vert', 'hori', 'hori', 'vert', 'hori']","no",200,"None","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","green","yes",0,"diamond",141500.7695,860784.7616,860784.8135,NA,860789.9777,37185.2591,1379.6852,848456.8667,37185.2902,959460.4605,962062.2012,NA,NA,NA,1380.7122,861604.6053,847947.1256,NA,959460.4772,862106.5283,959460.4062,"New experiment",19,"dist_present",56,16,"yes","yes",1680,8.81959948717912,21.3447337179489,"more away","False","NR","NR","lp","Right",NA,NA,NA,0,3,"first",3,"NR","ex"
"148",204,204,204,893.1597,32696.8546,223099.6661,29,158,"#000000","no",4,"bias","psycho","psycho","psycho",0,"uniform",1,0,3,3,NA,3,0,0,3,0,203,203,NA,NA,NA,0,3,3,NA,203,3,203,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","green","no","3","circle",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",35,3,35,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",2,204,36,"Kafkaesque Koffka","3.2.8","['vert', 'vert', 'vert', 'vert', 'hori', 'hori', 'hori', 'hori']","no",200,"None","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","red","no",4,"diamond",141500.7695,860784.7616,860784.8135,NA,860789.9777,37185.2591,1379.6852,848456.8667,37185.2902,962092.3698,964958.3222,NA,NA,NA,1380.7122,861604.6053,847947.1256,NA,962092.3864,862106.5283,962092.3163,"New experiment",19,"dist_present",56,54,"yes","yes",1680,17.6470994871793,-26.6468912820511,"more toward","False","NR","NR","hp","Left",NA,NA,NA,4,-3,"first",0,"NR","in"
"149",205,205,205,745.5303,33442.3849,223845.1964,29,158,"#000000","no",4,"bias","psycho","psycho","psycho",0,"uniform",0,0,3,3,NA,3,0,0,3,0,204,204,NA,NA,NA,0,3,3,NA,204,3,204,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","red","no","4","diamond",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",36,3,36,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",2,205,37,"Kafkaesque Koffka","3.2.8","['hori', 'hori', 'hori', 'vert', 'vert', 'hori', 'vert', 'vert']","yes",100,"circles","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","green","no",2,"circle",141500.7695,860784.7616,860784.8135,NA,860789.9777,37185.2591,1379.6852,848456.8667,37185.2902,964988.544,967893.9798,NA,NA,NA,1380.7122,861604.6053,847947.1256,NA,964988.5609,862106.5283,964988.4918,"New experiment",19,"dist_present",56,35,"yes","yes",1680,24.0342244871794,-37.4132662820512,"more toward","False","NR","NR","lp",NA,"Left",NA,"Left",-2,4,"first",4,"NR","in"
"150",206,206,206,950.5877,34392.9726,224795.7841,30,159,"#000000","no",4,"bias","psycho","psycho","psycho",0,"uniform",1,0,3,3,NA,3,0,0,3,0,205,205,NA,NA,NA,0,3,3,NA,205,3,205,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","green","no","5","circle",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",37,3,37,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",2,206,38,"Kafkaesque Koffka","3.2.8","['hori', 'vert', 'hori', 'hori', 'vert', 'vert', 'vert', 'hori']","yes",100,"diamond","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","red","no",1,"diamond",141500.7695,860784.7616,860784.8135,NA,860789.9777,37185.2591,1379.6852,848456.8667,37185.2902,967922.0662,970774.0002,NA,NA,NA,1380.7122,861604.6053,847947.1256,NA,967922.083,862106.5283,967922.0126,"New experiment",19,"dist_present",56,26,"yes","yes",1680,19.4033494871793,-20.1936412820511,"more toward","False","NR","NR","lp",NA,NA,NA,NA,-1,3,"first",2,"NR","in"
"151",207,207,207,1177.7374,35570.71,225973.5215,31,160,"#000000","no",4,"bias","psycho","psycho","psycho",0,"uniform",1,0,3,3,NA,3,0,0,3,0,206,206,NA,NA,NA,0,3,3,NA,206,3,206,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","red","no","7","diamond",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",38,3,38,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",2,207,39,"Kafkaesque Koffka","3.2.8","['vert', 'hori', 'vert', 'hori', 'hori', 'vert', 'vert', 'hori']","no",200,"None","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","green","no",3,"circle",141500.7695,860784.7616,860784.8135,NA,860789.9777,37185.2591,1379.6852,848456.8667,37185.2902,970804.3282,973966.0134,NA,NA,NA,1380.7122,861604.6053,847947.1256,NA,970804.3449,862106.5283,970804.276,"New experiment",19,"dist_present",56,48,"yes","yes",1680,28.7929744871792,-11.6985162820511,"more toward","False","NR","NR","lp",NA,NA,NA,NA,-3,1,"first",1,"NR","in"
"152",208,208,208,584.9975,36155.7075,226558.519,32,161,"#000000","no",4,"bias","psycho","psycho","psycho",0,"uniform",1,0,3,3,NA,3,0,0,3,0,207,207,NA,NA,NA,0,3,3,NA,207,3,207,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","green","no","None","diamond",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",39,3,39,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",2,208,40,"Kafkaesque Koffka","3.2.8","['vert', 'vert', 'vert', 'hori', 'hori', 'hori', 'hori', 'vert']","no",200,"None","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","red","no",4,"circle",141500.7695,860784.7616,860784.8135,NA,860789.9777,37185.2591,1379.6852,848456.8667,37185.2902,973996.3956,976342.019,NA,NA,NA,1380.7122,861604.6053,847947.1256,NA,973996.4123,862106.5283,973996.343,"New experiment",19,"dist_absent",56,59,"yes","yes",1680,9.61984948717923,5.16885871794886,"more away","False","NR","NR","lp",NA,NA,NA,NA,4,NA,"first",3,"NR","in"
"153",209,209,209,594.2916,36749.9991,227152.8106,33,162,"#000000","no",4,"bias","psycho","psycho","psycho",0,"uniform",1,0,3,3,NA,3,0,0,3,0,208,208,NA,NA,NA,0,3,3,NA,208,3,208,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","green","no","1","circle",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",40,3,40,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",2,209,41,"Kafkaesque Koffka","3.2.8","['hori', 'vert', 'hori', 'hori', 'hori', 'vert', 'vert', 'vert']","yes",100,"circles","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","red","no",6,"diamond",141500.7695,860784.7616,860784.8135,NA,860789.9777,37185.2591,1379.6852,848456.8667,37185.2902,976372.7333,978854.1514,NA,NA,NA,1380.7122,861604.6053,847947.1256,NA,976372.7503,862106.5283,976372.6784,"New experiment",19,"dist_present",56,72,"yes","yes",1680,-0.0190255128207531,-5.38814128205111,"more toward","False","NR","NR","lp",NA,NA,NA,NA,2,-1,"first",4,"NR","in"
"154",210,210,210,673.5013,37423.5004,227826.3119,34,163,"#000000","no",4,"bias","psycho","psycho","psycho",0,"uniform",1,0,3,3,NA,3,0,0,3,0,209,209,NA,NA,NA,0,3,3,NA,209,3,209,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","green","no","7","circle",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",41,3,41,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",2,210,42,"Kafkaesque Koffka","3.2.8","['hori', 'vert', 'hori', 'vert', 'vert', 'hori', 'hori', 'vert']","yes",100,"circles","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","red","no",4,"diamond",141500.7695,860784.7616,860784.8135,NA,860789.9777,37185.2591,1379.6852,848456.8667,37185.2902,978884.5407,981381.925,NA,NA,NA,1380.7122,861604.6053,847947.1256,NA,978884.5571,862106.5283,978884.4872,"New experiment",19,"dist_present",56,58,"yes","yes",1680,-2.18640051282079,-2.82651628205112,"more toward","False","NR","NR","lp","Right",NA,NA,NA,4,1,"first",6,"NR","in"
